year,country,perc_cob,viv_ocup,viv_ocup_elec,deficit_viv,pob,hab_per_viv,rate_of_cov,pob_acceso,pob_no_acceso,perc_no_cob
1997,rep_domincana,83.17,1890440.0,1572312.0,318128.0,7832408.0,4.14,1.85,6514351.0,1318057.0,16.83
1998,rep_domincana,85.06,1947563.0,1656682.0,290881.0,7973276.0,4.09,1.89,6782416.0,1190860.0,14.94
1999,rep_domincana,87.0,2006413.0,1745580.0,260833.0,8116677.0,4.05,1.94,7061512.0,1055165.0,13.0
2000,rep_domincana,88.98,2067041.0,1839248.0,227793.0,8262657.0,4.0,1.98,7352092.0,910565.0,11.02
2001,rep_domincana,91.0,2129501.0,1937942.0,191559.0,8411263.0,3.95,2.02,7654629.0,756634.0,9.0
2002,rep_domincana,93.08,2193848.0,2041932.0,151916.0,8562541.0,3.9,2.08,7969616.0,592925.0,6.92
2003,rep_domincana,93.66,2239686.0,2097798.0,141888.0,8717580.0,3.89,0.58,8165306.0,552274.0,6.34
2004,rep_domincana,93.55,2303777.0,2155192.0,148585.0,8875427.0,3.85,-0.11,8302995.0,572432.0,6.45
2005,rep_domincana,93.45,2369264.0,2214156.0,155108.0,9036132.0,3.81,-0.1,8444566.0,591566.0,6.55
2006,rep_domincana,93.37,2436133.0,2274734.0,161399.0,9199746.0,3.78,-0.08,8590243.0,609503.0,6.63
2007,rep_domincana,93.32,2504368.0,2336969.0,167399.0,9366323.0,3.74,-0.05,8740252.0,626071.0,6.68
2008,rep_domincana,93.28,2573948.0,2400907.0,173041.0,9535917.0,3.7,-0.04,8894838.0,641079.0,6.72
2009,rep_domincana,93.26,2644854.0,2466594.0,178260.0,9708581.0,3.67,-0.02,9054234.0,654347.0,6.74
2010,rep_domincana,94.44,2683317.0,2534078.0,149239.0,9884371.0,3.68,1.18,9334628.0,549743.0,5.56
2011,rep_domincana,92.08,2791852.0,2570737.0,221115.0,10035860.0,3.59,-2.36,9241019.0,794841.0,7.92
2012,rep_domincana,93.0,2863162.0,2662741.0,200421.0,10170000.0,3.55,0.92,9458101.0,711899.0,7.0
2013,rep_domincana,94.0,2889503.0,2716133.0,173370.0,10263564.0,3.55,1.0,9647750.0,615814.0,6.0
2014,rep_domincana,96.7,2918398.0,2820924.0,97474.0,10366200.0,3.55,2.66,10019969.0,346231.0,3.34
2015,rep_domincana,96.9,2965744.0,2872916.0,92828.0,10528390.0,3.55,0.21,10198851.0,329539.0,3.13
1970,salvador,33.97,641002.0,217748.0,423254.0,3493461.0,5.45,,1186727.0,2306734.0,66.03
1971,salvador,34.1,655120.0,223400.0,431720.0,3554648.0,5.43,0.13,1212157.0,2342491.0,65.9
1972,salvador,35.39,668152.0,236456.0,431696.0,3616907.0,5.41,1.99,1280007.0,2336900.0,64.61
1973,salvador,36.73,681443.0,250275.0,431168.0,3680256.0,5.4,1.99,1351655.0,2328601.0,63.27
1974,salvador,38.12,694998.0,264902.0,430096.0,3744714.0,5.39,1.99,1427317.0,2317397.0,61.88
1975,salvador,39.56,708823.0,280384.0,428439.0,3810302.0,5.38,1.99,1507214.0,2303088.0,60.44
1976,salvador,41.05,722923.0,296770.0,426153.0,3877038.0,5.36,1.99,1591578.0,2285460.0,58.95
1977,salvador,42.6,737304.0,314115.0,423189.0,3944943.0,5.35,1.99,1680671.0,2264272.0,57.4
1978,salvador,44.21,751970.0,332472.0,419498.0,4014038.0,5.34,1.99,1774745.0,2239293.0,55.79
1979,salvador,45.88,766929.0,351903.0,415026.0,4084342.0,5.33,1.99,1874088.0,2210254.0,54.12
1980,salvador,47.62,782185.0,372469.0,409716.0,4155878.0,5.31,1.99,1978989.0,2176889.0,52.38
1981,salvador,49.42,797744.0,394238.0,403506.0,4228667.0,5.3,1.99,2089770.0,2138897.0,50.58
1982,salvador,51.29,813613.0,417278.0,396335.0,4302731.0,5.29,1.99,2206743.0,2095988.0,48.71
1983,salvador,53.23,829797.0,441665.0,388132.0,4378092.0,5.28,1.99,2330269.0,2047823.0,46.77
1984,salvador,55.24,846304.0,467477.0,378827.0,4454773.0,5.26,1.99,2460704.0,1994069.0,44.76
1985,salvador,57.33,863139.0,494798.0,368341.0,4532797.0,5.25,1.99,2598445.0,1934352.0,42.67
1986,salvador,59.49,880309.0,523715.0,356594.0,4612188.0,5.24,1.99,2743891.0,1868297.0,40.51
1987,salvador,61.74,897820.0,554323.0,343497.0,4692969.0,5.23,1.99,2897486.0,1795483.0,38.26
1988,salvador,64.07,915679.0,586719.0,328960.0,4775165.0,5.21,1.99,3059675.0,1715490.0,35.93
1989,salvador,66.5,933894.0,621009.0,312885.0,4858800.0,5.2,1.99,3230943.0,1627857.0,33.5
1990,salvador,69.01,952472.0,657302.0,295170.0,4943901.0,5.19,1.99,3411792.0,1532109.0,30.99
1991,salvador,71.62,971418.0,695717.0,275701.0,5030491.0,5.18,1.99,3602773.0,1427718.0,28.38
1992,salvador,74.33,990742.0,736377.0,254365.0,5118599.0,5.17,1.99,3804440.0,1314159.0,25.67
1993,salvador,75.48,1010450.0,762648.0,247802.0,5158094.0,5.1,1.99,3893127.0,1264967.0,24.52
1994,salvador,76.64,1030550.0,789856.0,240694.0,5197893.0,5.04,1.99,3983879.0,1214014.0,23.36
1995,salvador,77.83,1051050.0,818035.0,233015.0,5238000.0,4.98,1.99,4076749.0,1161251.0,22.17
1996,salvador,79.03,1071958.0,847219.0,224739.0,5278416.0,4.92,1.99,4171781.0,1106635.0,20.97
1997,salvador,80.26,1093281.0,877445.0,215836.0,5319144.0,4.87,1.99,4269036.0,1050108.0,19.74
1998,salvador,81.5,1115029.0,908749.0,206280.0,5360186.0,4.81,1.99,4368553.0,991633.0,18.5
1999,salvador,82.7,1138052.0,941169.0,196883.0,5401545.0,4.75,2.06,4467078.0,934467.0,17.3
2000,salvador,84.5,1153546.0,974746.0,178800.0,5443223.0,4.72,1.36,4599522.0,843701.0,15.5
2001,salvador,87.1,1159037.0,1009521.0,149516.0,5485222.0,4.73,0.48,4777627.0,707595.0,12.9
2002,salvador,87.5,1194900.0,1045537.0,149363.0,5527546.0,4.63,3.09,4836600.0,690946.0,12.5
2003,salvador,87.0,1244641.0,1082838.0,161803.0,5570196.0,4.48,4.16,4846072.0,724124.0,13.0
2004,salvador,87.4,1283146.0,1121469.0,161677.0,5613175.0,4.37,3.09,4905912.0,707263.0,12.6
2005,salvador,87.5,1327404.0,1161479.0,165925.0,5656486.0,4.26,3.45,4949427.0,707059.0,12.5
2006,salvador,89.2,1348560.0,1202916.0,145644.0,5700131.0,4.23,1.59,5084519.0,615612.0,10.8
2007,salvador,91.1,1367542.0,1245831.0,121711.0,5744113.0,4.2,1.41,5232888.0,511225.0,8.9
2008,salvador,91.0,1531782.0,1393922.0,137860.0,5771676.0,3.77,12.01,5252227.0,519449.0,9.0
2009,salvador,91.1,1529696.0,1393553.0,136143.0,5799372.0,3.79,-0.14,5283228.0,516144.0,8.9
2010,salvador,91.6,1584840.0,1451713.0,133127.0,5827200.0,3.68,3.6,5337714.0,489486.0,8.4
2011,salvador,92.1,1645263.0,1515287.0,129976.0,6252000.0,3.8,3.81,5758091.0,493909.0,7.9
2012,salvador,92.5,1690270.0,1563500.0,126770.0,6254000.0,3.7,2.74,5784951.0,469049.0,7.5
2013,salvador,92.5,1736508.0,1606270.0,130238.0,6425081.0,3.7,2.74,5943200.0,481881.0,7.5
2014,salvador,95.0,1784011.0,1694811.0,89201.0,6600843.0,3.7,2.74,6270801.0,330042.0,5.0
2015,salvador,95.4,1655832.0,1579664.0,76168.0,6126580.0,3.7,-7.18,5844757.0,281823.0,4.6
1970,suriname,67.14,66328.0,44533.0,21795.0,373509.0,5.63,,250776.0,122733.0,32.86
1971,suriname,68.12,67494.0,45976.0,21518.0,376546.0,5.58,0.98,256498.0,120048.0,31.88
1972,suriname,69.08,68681.0,47442.0,21239.0,379607.0,5.53,0.96,262217.0,117390.0,30.92
1973,suriname,71.17,68752.0,48928.0,19824.0,376472.0,5.48,2.09,267920.0,108552.0,28.83
1974,suriname,73.28,68823.0,50434.0,18389.0,373363.0,5.42,2.11,273603.0,99760.0,26.72
1975,suriname,75.42,68894.0,51959.0,16935.0,370279.0,5.37,2.14,279260.0,91019.0,24.58
1976,suriname,77.58,68965.0,53500.0,15465.0,367221.0,5.32,2.16,284874.0,82347.0,22.42
1977,suriname,79.75,69037.0,55056.0,13981.0,364189.0,5.28,2.17,290435.0,73754.0,20.25
1978,suriname,81.94,69108.0,56627.0,12481.0,361181.0,5.23,2.19,295951.0,65230.0,18.06
1979,suriname,84.14,69179.0,58209.0,10970.0,358198.0,5.18,2.2,301397.0,56801.0,15.86
1980,suriname,86.76,69251.0,60079.0,9172.0,355240.0,5.13,2.62,308190.0,47050.0,13.24
1981,suriname,86.52,70860.0,61307.0,9553.0,360119.0,5.08,-0.24,311570.0,48549.0,13.48
1982,suriname,86.28,72506.0,62561.0,9945.0,365065.0,5.03,-0.24,314992.0,50073.0,13.72
1983,suriname,86.05,74191.0,63840.0,10351.0,370078.0,4.99,-0.23,318445.0,51633.0,13.95
1984,suriname,85.81,75914.0,65146.0,10768.0,375161.0,4.94,-0.24,321946.0,53215.0,14.18
1985,suriname,85.58,77678.0,66478.0,11200.0,380313.0,4.9,-0.23,325478.0,54835.0,14.42
1986,suriname,85.35,79483.0,67837.0,11646.0,385536.0,4.85,-0.23,329047.0,56489.0,14.65
1987,suriname,85.12,81329.0,69224.0,12105.0,390831.0,4.81,-0.23,332660.0,58171.0,14.88
1988,suriname,84.88,83219.0,70640.0,12579.0,396199.0,4.76,-0.24,336311.0,59888.0,15.12
1989,suriname,84.65,85152.0,72084.0,13068.0,401640.0,4.72,-0.23,340002.0,61638.0,15.35
1990,suriname,84.42,87131.0,73558.0,13573.0,407156.0,4.67,-0.23,343730.0,63426.0,15.58
1991,suriname,84.19,89155.0,75062.0,14093.0,412748.0,4.63,-0.23,347504.0,65244.0,15.81
1992,suriname,83.96,91226.0,76597.0,14629.0,418417.0,4.59,-0.23,351320.0,67097.0,16.04
1993,suriname,83.73,93346.0,78163.0,15183.0,424163.0,4.54,-0.23,355172.0,68991.0,16.27
1994,suriname,83.51,95514.0,79761.0,15753.0,429989.0,4.5,-0.22,359071.0,70918.0,16.49
1995,suriname,83.28,97734.0,81392.0,16342.0,435894.0,4.46,-0.23,363009.0,72885.0,16.72
1996,suriname,83.05,100004.0,83056.0,16948.0,441880.0,4.42,-0.23,366993.0,74887.0,16.95
1997,suriname,82.83,102328.0,84755.0,17573.0,447949.0,4.38,-0.22,371022.0,76927.0,17.17
1998,suriname,82.6,104705.0,86488.0,18217.0,454101.0,4.34,-0.23,375095.0,79006.0,17.4
1999,suriname,82.38,107138.0,88256.0,18882.0,460338.0,4.3,-0.22,379208.0,81130.0,17.62
2000,suriname,82.15,109627.0,90061.0,19566.0,466660.0,4.26,-0.23,383371.0,83289.0,17.85
2001,suriname,81.93,112174.0,91902.0,20272.0,473069.0,4.22,-0.22,387576.0,85493.0,18.07
2002,suriname,81.71,114780.0,93782.0,20998.0,479566.0,4.18,-0.22,391834.0,87732.0,18.29
2003,suriname,81.48,117446.0,95699.0,21747.0,486152.0,4.14,-0.23,396133.0,90019.0,18.52
2004,suriname,81.26,120175.0,97656.0,22519.0,492829.0,4.1,-0.22,400480.0,92349.0,18.74
2005,suriname,83.67,122499.0,102492.0,20007.0,497695.0,4.06,2.41,416410.0,81285.0,16.33
2006,suriname,85.11,124868.0,106281.0,18587.0,502610.0,4.03,1.44,427795.0,74815.0,14.89
2007,suriname,86.4,127282.0,109978.0,17304.0,507573.0,3.99,1.29,438568.0,69005.0,13.6
2008,suriname,87.5,129744.0,113524.0,16220.0,512585.0,3.95,1.1,448504.0,64081.0,12.5
2009,suriname,88.36,132253.0,116861.0,15392.0,517646.0,3.91,0.86,457401.0,60245.0,11.64
2010,suriname,88.97,134810.0,119940.0,14870.0,522758.0,3.88,0.61,465096.0,57662.0,11.03
2011,suriname,89.58,135641.0,121507.0,14134.0,529000.0,3.9,0.61,473877.0,55123.0,10.42
2012,suriname,90.34,136923.0,123696.0,13227.0,534000.0,3.9,0.76,482415.0,51585.0,9.66
2013,suriname,90.34,137964.0,124636.0,13327.0,538058.0,3.9,0.0,486082.0,51976.0,9.66
2014,suriname,90.34,137964.0,124636.0,13327.0,538058.0,3.9,0.0,486082.0,51976.0,9.66
2015,suriname,90.34,139226.0,125776.0,13449.0,542980.0,3.9,0.0,490528.0,52452.0,9.66
1970,trinidadtobago,82.04,189417.0,155406.53,34010.0,945210.0,4.99,,775494.0,169716.0,17.96
1971,trinidadtobago,82.48,193132.0,159294.71,33837.0,957876.34,4.96,0.44,790054.0,167823.0,17.52
1972,trinidadtobago,82.87,196920.0,163194.16,33726.0,970712.42,4.93,0.39,804462.0,166251.0,17.13
1973,trinidadtobago,83.23,200782.0,167100.8,33681.0,983720.51,4.9,0.36,818701.0,165019.0,16.77
1974,trinidadtobago,83.53,204719.0,171010.51,33708.0,996902.92,4.87,0.3,832756.0,164147.0,16.47
1975,trinidadtobago,83.8,208734.0,174919.15,33815.0,1010261.97,4.84,0.27,846600.0,163662.0,16.2
1976,trinidadtobago,84.02,212828.0,178822.59,34005.0,1023800.05,4.81,0.22,860218.0,163582.0,15.98
1977,trinidadtobago,84.2,217002.0,182716.72,34285.0,1037519.54,4.78,0.18,873596.0,163923.0,15.8
1978,trinidadtobago,84.33,221258.0,186597.48,34661.0,1051422.88,4.75,0.13,886715.0,164708.0,15.67
1979,trinidadtobago,84.43,225597.0,190460.85,35136.0,1065512.54,4.72,0.1,899562.0,165951.0,15.57
1980,trinidadtobago,84.47,230021.0,194302.9,35718.0,1079791.0,4.69,0.04,912119.0,167672.0,15.53
1981,trinidadtobago,84.61,234153.0,198119.77,36033.0,1092491.46,4.67,0.14,924371.0,168121.0,15.39
1982,trinidadtobago,84.71,238360.0,201907.71,36452.0,1105341.29,4.64,0.1,936302.0,169039.0,15.29
1983,trinidadtobago,84.76,242641.0,205663.09,36978.0,1118342.27,4.61,0.05,947910.0,170433.0,15.24
1984,trinidadtobago,85.03,247000.0,210026.42,36974.0,1131496.16,4.58,0.27,962122.0,169374.0,14.97
1985,trinidadtobago,85.28,251437.0,214427.12,37010.0,1144804.77,4.55,0.25,976297.0,168508.0,14.72
1986,trinidadtobago,85.51,255953.0,218857.45,37096.0,1158269.92,4.53,0.23,990401.0,167869.0,14.49
1987,trinidadtobago,85.71,260551.0,223309.19,37242.0,1171893.44,4.5,0.2,1004389.0,167504.0,14.29
1988,trinidadtobago,85.88,265232.0,227773.65,37458.0,1185677.2,4.47,0.17,1018226.0,167452.0,14.12
1989,trinidadtobago,86.02,269996.0,232241.74,37754.0,1199623.08,4.44,0.14,1031877.0,167746.0,13.98
1990,trinidadtobago,87.78,274846.0,241248.62,33597.0,1213733.0,4.42,1.76,1065365.0,148368.0,12.22
1991,trinidadtobago,88.12,277619.0,244642.01,32977.0,1218510.77,4.39,0.34,1073770.0,144741.0,11.88
1992,trinidadtobago,88.47,280420.0,248083.13,32337.0,1223307.35,4.36,0.35,1082241.0,141067.0,11.53
1993,trinidadtobago,88.82,283250.0,251572.66,31677.0,1228122.81,4.34,0.35,1090775.0,137347.0,11.18
1994,trinidadtobago,89.17,286108.0,255111.26,30997.0,1232957.23,4.31,0.35,1099380.0,133578.0,10.83
1995,trinidadtobago,89.52,288994.0,258699.64,30294.0,1237810.68,4.28,0.35,1108055.0,129756.0,10.48
1996,trinidadtobago,89.87,291910.0,262338.5,29572.0,1242683.23,4.26,0.35,1116795.0,125888.0,10.13
1997,trinidadtobago,90.22,294856.0,266028.53,28827.0,1247574.96,4.23,0.35,1125602.0,121973.0,9.78
1998,trinidadtobago,90.58,297831.0,269770.47,28061.0,1252485.95,4.21,0.36,1134481.0,118005.0,9.42
1999,trinidadtobago,90.94,300836.0,273565.05,27271.0,1257416.27,4.18,0.36,1143431.0,113985.0,9.07
2000,trinidadtobago,91.29,303871.0,277413.0,26458.0,1262366.0,4.15,0.35,1152452.0,109914.0,8.71
2001,trinidadtobago,90.75,306871.0,278475.19,28396.0,1267063.09,4.13,-0.54,1149817.0,117246.0,9.25
2002,trinidadtobago,91.82,309901.0,284537.99,25363.0,1271777.65,4.1,1.07,1167692.0,104085.0,8.18
2003,trinidadtobago,92.8,312960.0,290418.54,22541.0,1276509.76,4.08,0.98,1184567.0,91943.0,7.2
2004,trinidadtobago,93.68,316050.0,296065.52,19984.0,1281259.47,4.05,0.88,1200243.0,81017.0,6.32
2005,trinidadtobago,94.44,319171.0,301431.04,17740.0,1286026.86,4.03,0.76,1214548.0,71479.0,5.56
2006,trinidadtobago,95.08,322322.0,306472.47,15850.0,1290811.98,4.0,0.64,1227339.0,63473.0,4.92
2007,trinidadtobago,95.59,325504.0,311154.17,14350.0,1295614.92,3.98,0.51,1238498.0,57117.0,4.41
2008,trinidadtobago,95.96,328718.0,315448.92,13269.0,1300435.72,3.96,0.37,1247942.0,52494.0,4.04
2009,trinidadtobago,96.2,331963.0,319338.85,12624.0,1305274.46,3.93,0.24,1255636.0,49638.0,3.8
2010,trinidadtobago,96.29,335240.0,322815.95,12424.0,1310131.2,3.91,0.09,1261578.0,48554.0,3.71
2011,trinidadtobago,96.38,344246.0,331784.0,12462.0,1346000.0,3.91,0.09,1297274.0,48726.0,3.62
2012,trinidadtobago,96.56,345524.0,333638.26,11886.0,1351000.0,3.91,0.18,1304527.0,46473.0,3.44
2013,trinidadtobago,96.56,346146.0,334239.0,11907.0,1353432.0,3.91,0.0,1306874.0,46558.0,3.44
2014,trinidadtobago,98.0,346146.0,339223.0,6923.0,1353432.0,3.91,1.44,1326363.0,27069.0,2.0
2015,trinidadtobago,98.0,347849.0,340892.0,6957.0,1360090.0,3.91,0.0,1332888.0,27202.0,2.0
1970,uruguay,75.18,718765.0,540392.0,178373.0,2740007.0,3.81,,2060031.0,679976.0,24.82
1971,uruguay,76.08,725003.0,551596.0,173407.0,2749623.0,3.79,0.9,2091965.0,657658.0,23.92
1972,uruguay,76.92,731106.0,562393.0,168713.0,2759274.0,3.77,0.84,2122533.0,636741.0,23.08
1973,uruguay,77.78,737084.0,573294.0,163790.0,2768958.0,3.76,0.86,2153658.0,615300.0,22.22
1974,uruguay,77.57,742951.0,576319.0,166632.0,2778677.0,3.74,-0.21,2155464.0,623213.0,22.43
1975,uruguay,79.0,749900.0,592400.0,157500.0,2788429.0,3.72,1.43,2202781.0,585648.0,21.0
1976,uruguay,79.89,756917.0,604671.0,152246.0,2804677.0,3.71,0.89,2240545.0,564132.0,20.11
1977,uruguay,80.78,764000.0,617196.0,146804.0,2821021.0,3.69,0.89,2278957.0,542064.0,19.22
1978,uruguay,81.69,771149.0,629980.0,141169.0,2837459.0,3.68,0.91,2318025.0,519434.0,18.31
1979,uruguay,82.61,778365.0,643029.0,135336.0,2853993.0,3.67,0.92,2357763.0,496230.0,17.39
1980,uruguay,83.54,785648.0,656348.0,129300.0,2870624.0,3.65,0.93,2398184.0,472440.0,16.46
1981,uruguay,84.48,792999.0,669944.0,123055.0,2887351.0,3.64,0.94,2439301.0,448050.0,15.52
1982,uruguay,85.43,800420.0,683821.0,116599.0,2904176.0,3.63,0.95,2481118.0,423058.0,14.57
1983,uruguay,86.39,807910.0,697985.0,109925.0,2921099.0,3.62,0.96,2523652.0,397447.0,13.61
1984,uruguay,87.37,815469.0,712443.0,103026.0,2938120.0,3.6,0.98,2566919.0,371201.0,12.63
1985,uruguay,88.35,823100.0,727200.0,95900.0,2955241.0,3.59,0.98,2610924.0,344317.0,11.65
1986,uruguay,89.01,833001.0,741428.0,91573.0,2973616.0,3.57,0.66,2646722.0,326894.0,10.99
1987,uruguay,89.67,843021.0,755934.0,87087.0,2992104.0,3.55,0.66,2683009.0,309095.0,10.33
1988,uruguay,90.34,853161.0,770724.0,82437.0,3010708.0,3.53,0.67,2719797.0,290911.0,9.66
1989,uruguay,91.01,863423.0,785803.0,77620.0,3029427.0,3.51,0.67,2757088.0,272339.0,8.99
1990,uruguay,91.69,873809.0,801178.0,72631.0,3048263.0,3.49,0.68,2794891.0,253372.0,8.31
1991,uruguay,92.37,884320.0,816853.0,67467.0,3067216.0,3.47,0.68,2833210.0,234006.0,7.63
1992,uruguay,93.06,894957.0,832835.0,62122.0,3086287.0,3.45,0.69,2872057.0,214230.0,6.94
1993,uruguay,93.75,905722.0,849129.0,56593.0,3105476.0,3.43,0.69,2911434.0,194042.0,6.25
1994,uruguay,94.45,916616.0,865743.0,50873.0,3124785.0,3.41,0.7,2951357.0,173428.0,5.55
1995,uruguay,95.15,927642.0,882681.0,44961.0,3144214.0,3.39,0.7,2991820.0,152394.0,4.85
1996,uruguay,95.86,938800.0,899951.0,38849.0,3163763.0,3.37,0.71,3032842.0,130921.0,4.14
1997,uruguay,95.59,975869.0,932799.0,43070.0,3173316.0,3.25,-0.27,3033262.0,140054.0,4.41
1998,uruguay,95.82,1014403.0,972009.0,42394.0,3182899.0,3.14,0.23,3049879.0,133020.0,4.18
1999,uruguay,96.06,1054457.0,1012880.0,41577.0,3192510.0,3.03,0.24,3066630.0,125880.0,3.94
2000,uruguay,96.26,1096093.0,1055085.0,41008.0,3202150.0,2.92,0.2,3082348.0,119802.0,3.74
2001,uruguay,96.39,1139374.0,1098227.0,41147.0,3211819.0,2.82,0.13,3095828.0,115991.0,3.61
2002,uruguay,96.41,1184363.0,1141856.0,42507.0,3221518.0,2.72,0.02,3105897.0,115621.0,3.59
2003,uruguay,96.84,1231129.0,1192267.0,38862.0,3231246.0,2.62,0.43,3129248.0,101998.0,3.16
2004,uruguay,97.18,1279741.0,1243651.0,36090.0,3241003.0,2.53,0.34,3149603.0,91400.0,2.82
2005,uruguay,97.4,1288444.0,1254954.0,33490.0,3249083.0,2.52,0.22,3164631.0,84452.0,2.6
2006,uruguay,98.52,1332163.0,1312412.0,19751.0,3257182.0,2.45,1.12,3208890.0,48292.0,1.48
2007,uruguay,99.4,1379704.0,1371487.0,8217.0,3265302.0,2.37,0.88,3245855.0,19447.0,0.6
2008,uruguay,99.74,1431422.0,1427696.0,3726.0,3273443.0,2.29,0.34,3264922.0,8521.0,0.26
2009,uruguay,99.74,1487702.0,1483826.0,3876.0,3281603.0,2.21,0.0,3273053.0,8550.0,0.26
2010,uruguay,99.75,1548960.0,1545113.0,3847.0,3289784.0,2.12,0.01,3281613.0,8171.0,0.25
2011,uruguay,99.2,1596226.0,1583457.0,12769.0,3384000.0,2.12,-0.55,3356930.0,27070.0,0.8
2012,uruguay,99.4,1602358.0,1592744.0,9614.0,3397000.0,2.12,0.2,3376618.0,20382.0,0.6
2013,uruguay,99.6,1605563.0,1599140.0,6422.0,3403794.0,2.12,0.2,3390179.0,13615.0,0.4
2014,uruguay,99.7,1608774.0,1603948.0,4826.0,3410602.0,2.12,0.1,3400370.0,10232.0,0.3
2015,uruguay,99.7,1618656.0,1613800.0,4856.0,3431550.0,2.12,0.0,3421255.0,10295.0,0.3
1970,venezuela,76.9,1756109.0,1350448.0,405661.0,10361045.0,5.9,,7967645.0,2393400.0,23.1
1971,venezuela,76.78,1844078.0,1415883.0,428195.0,10721522.0,5.81,-0.12,8231984.0,2489538.0,23.22
1972,venezuela,76.75,1944532.0,1492520.0,452012.0,11051410.0,5.68,-0.03,8482478.0,2568932.0,23.25
1973,venezuela,76.78,2049036.0,1573306.0,475730.0,11391448.0,5.56,0.03,8746666.0,2644782.0,23.22
1974,venezuela,76.81,2159158.0,1658464.0,500694.0,11741949.0,5.44,0.03,9019071.0,2722878.0,23.19
1975,venezuela,76.84,2275197.0,1748232.0,526965.0,12103234.0,5.32,0.03,9299969.0,2803265.0,23.16
1976,venezuela,76.87,2397473.0,1842858.0,554615.0,12475636.0,5.2,0.03,9589608.0,2886028.0,23.13
1977,venezuela,76.89,2526320.0,1942606.0,583714.0,12859496.0,5.09,0.02,9888270.0,2971226.0,23.11
1978,venezuela,76.92,2662092.0,2047754.0,614338.0,13255167.0,4.98,0.03,10196237.0,3058930.0,23.08
1979,venezuela,76.95,2805161.0,2158592.0,646569.0,13663012.0,4.87,0.03,10513788.0,3149224.0,23.05
1980,venezuela,76.98,2955918.0,2275430.0,680488.0,14083406.0,4.76,0.03,10841236.0,3242170.0,23.02
1981,venezuela,77.01,3114778.0,2398592.0,716186.0,14516735.0,4.66,0.03,11178878.0,3337857.0,22.99
1982,venezuela,76.77,3212231.0,2465951.0,746280.0,14877450.0,4.63,-0.24,11421054.0,3456396.0,23.23
1983,venezuela,76.53,3312733.0,2535201.0,777532.0,15247128.0,4.6,-0.24,11668473.0,3578655.0,23.47
1984,venezuela,76.29,3416379.0,2606396.0,809983.0,15625992.0,4.57,-0.24,11921254.0,3704738.0,23.71
1985,venezuela,76.05,3523268.0,2679591.0,843677.0,16014270.0,4.55,-0.24,12179515.0,3834755.0,23.95
1986,venezuela,75.82,3633501.0,2754840.0,878661.0,16412196.0,4.52,-0.23,12443364.0,3968832.0,24.18
1987,venezuela,75.58,3747183.0,2832204.0,914979.0,16820010.0,4.49,-0.24,12712937.0,4107073.0,24.42
1988,venezuela,75.35,3864422.0,2911739.0,952683.0,17237957.0,4.46,-0.23,12988341.0,4249616.0,24.65
1989,venezuela,75.11,3985329.0,2993508.0,991821.0,17666289.0,4.43,-0.24,13269714.0,4396575.0,24.89
1990,venezuela,74.88,4110019.0,3077574.0,1032445.0,18105265.0,4.41,-0.23,13557186.0,4548079.0,25.12
1991,venezuela,76.59,4199889.0,3216861.0,983028.0,18520368.0,4.41,1.71,14185482.0,4334886.0,23.41
1992,venezuela,78.35,4291725.0,3362452.0,929273.0,18944989.0,4.41,1.76,14842893.0,4102096.0,21.65
1993,venezuela,80.14,4385569.0,3514632.0,870937.0,19379344.0,4.42,1.79,15530770.0,3848574.0,19.86
1994,venezuela,81.98,4481464.0,3673699.0,807765.0,19823659.0,4.42,1.84,16250528.0,3573131.0,18.02
1995,venezuela,83.85,4579457.0,3839966.0,739491.0,20278160.0,4.43,1.87,17003641.0,3274519.0,16.15
1996,venezuela,85.77,4679592.0,4013758.0,665834.0,20743082.0,4.43,1.92,17791660.0,2951422.0,14.23
1997,venezuela,87.74,4781917.0,4195415.0,586502.0,21218663.0,4.44,1.97,18616195.0,2602468.0,12.26
1998,venezuela,89.74,4886479.0,4385294.0,501185.0,21705147.0,4.44,2.0,19478944.0,2226203.0,10.26
1999,venezuela,91.8,4993328.0,4583767.0,409561.0,22202786.0,4.45,2.06,20381677.0,1821109.0,8.2
2000,venezuela,93.9,5102513.0,4791222.0,311291.0,22711834.0,4.45,2.1,21326244.0,1385590.0,6.1
2001,venezuela,96.05,5214085.0,5008066.0,206019.0,23232553.0,4.46,2.15,22314588.0,917965.0,3.95
2002,venezuela,96.88,5363261.0,5196082.0,167179.0,23597412.0,4.4,0.83,22861854.0,735558.0,3.12
2003,venezuela,96.45,5516705.0,5320906.0,195799.0,23968001.0,4.34,-0.43,23117328.0,850673.0,3.55
2004,venezuela,96.26,5674540.0,5462319.0,212221.0,24344410.0,4.29,-0.19,23433958.0,910452.0,3.74
2005,venezuela,96.29,5836890.0,5620286.0,216604.0,24726731.0,4.24,0.03,23809135.0,917596.0,3.71
2006,venezuela,96.51,6003884.0,5794309.0,209575.0,25115056.0,4.18,0.22,24238376.0,876680.0,3.49
2007,venezuela,96.88,6175657.0,5983255.0,192402.0,25509479.0,4.13,0.37,24714734.0,794745.0,3.12
2008,venezuela,97.37,6352344.0,6185155.0,167189.0,25910096.0,4.08,0.49,25228161.0,681935.0,2.63
2009,venezuela,97.9,6534086.0,6397031.0,137055.0,26317005.0,4.03,0.53,25764996.0,552009.0,2.1
