,year,country,perc_cob,perc_no_cob
836,1978,Panama,60.65,39.35
837,1979,Panama,61.56,38.44
838,1980,Panama,62.47,37.53
839,1981,Panama,63.34,36.66
840,1982,Panama,64.19,35.81
841,1983,Panama,64.98,35.02
842,1984,Panama,65.72,34.28
843,1985,Panama,66.4,33.6
844,1986,Panama,67.0,33.0
845,1987,Panama,67.53,32.47
846,1988,Panama,67.99,32.01
847,1989,Panama,68.36,31.64
848,1990,Panama,68.74,31.26
849,1991,Panama,69.91,30.09
850,1992,Panama,71.1,28.9
851,1993,Panama,72.31,27.69
852,1994,Panama,73.55,26.45
853,1995,Panama,74.8,25.2
854,1996,Panama,76.08,23.92
855,1997,Panama,77.37,22.63
856,1998,Panama,78.69,21.31
857,1999,Panama,80.04,19.96
858,2000,Panama,81.4,18.6
859,2001,Panama,82.0,18.0
860,2002,Panama,82.6,17.4
861,2003,Panama,83.2,16.8
862,2004,Panama,83.81,16.19
863,2005,Panama,84.42,15.58
864,2006,Panama,85.04,14.96
865,2007,Panama,85.66,14.34
866,2008,Panama,86.28,13.72
867,2009,Panama,86.91,13.09
868,2010,Panama,87.55,12.45
869,2011,Panama,88.19,11.81
870,2012,Panama,88.83,11.17
871,2013,Panama,91.1,8.9
872,2014,Panama,92.5,7.5
873,2015,Panama,93.9,6.1
874,1970,Paraguay,31.93,68.07
875,1971,Paraguay,32.49,67.51
876,1972,Paraguay,33.05,66.95
877,1973,Paraguay,33.63,66.37
878,1974,Paraguay,34.22,65.78
879,1975,Paraguay,34.82,65.18
880,1976,Paraguay,35.43,64.57
881,1977,Paraguay,36.07,63.93
882,1978,Paraguay,36.71,63.29
883,1979,Paraguay,37.38,62.62
884,1980,Paraguay,38.05,61.95
885,1981,Paraguay,38.74,61.26
886,1982,Paraguay,38.82,61.18
887,1983,Paraguay,40.48,59.52
888,1984,Paraguay,42.21,57.79
889,1985,Paraguay,44.01,55.99
890,1986,Paraguay,45.9,54.1
891,1987,Paraguay,47.86,52.14
892,1988,Paraguay,49.91,50.09
893,1989,Paraguay,52.04,47.96
894,1990,Paraguay,54.27,45.73
895,1991,Paraguay,56.59,43.41
896,1992,Paraguay,59.01,40.99
897,1993,Paraguay,61.49,38.51
898,1994,Paraguay,64.08,35.92
899,1995,Paraguay,66.78,33.22
900,1996,Paraguay,69.59,30.41
901,1997,Paraguay,72.53,27.47
902,1998,Paraguay,75.58,24.42
903,1999,Paraguay,78.76,21.24
904,2000,Paraguay,82.08,17.92
905,2001,Paraguay,85.54,14.46
906,2002,Paraguay,89.14,10.86
907,2003,Paraguay,93.28,6.72
908,2004,Paraguay,96.49,3.51
909,2005,Paraguay,97.75,2.25
910,2006,Paraguay,98.5,1.5
911,2007,Paraguay,98.79,1.21
912,2008,Paraguay,98.86,1.14
913,2009,Paraguay,98.95,1.05
914,2010,Paraguay,98.97,1.03
915,2011,Paraguay,98.99,1.01
916,2012,Paraguay,99.02,0.98
917,2013,Paraguay,99.0,1.0
918,2014,Paraguay,99.0,1.0
919,2015,Paraguay,99.33,0.67
920,1970,Peru,31.98,68.02
921,1971,Peru,32.93,67.07
922,1972,Peru,33.9,66.1
923,1973,Peru,34.88,65.12
924,1974,Peru,35.87,64.13
925,1975,Peru,36.88,63.12
926,1976,Peru,37.9,62.1
927,1977,Peru,38.93,61.07
928,1978,Peru,39.97,60.03
929,1979,Peru,41.01,58.99
930,1980,Peru,42.06,57.94
931,1981,Peru,43.11,56.89
932,1982,Peru,44.17,55.83
933,1983,Peru,45.22,54.78
934,1984,Peru,46.26,53.74
935,1985,Peru,47.3,52.7
936,1986,Peru,48.32,51.68
937,1987,Peru,49.33,50.67
938,1988,Peru,50.32,49.68
939,1989,Peru,51.29,48.71
940,1990,Peru,52.24,47.76
941,1991,Peru,53.15,46.85
942,1992,Peru,54.04,45.96
943,1993,Peru,54.9,45.1
944,1994,Peru,56.09,43.91
945,1995,Peru,57.3,42.7
946,1996,Peru,58.54,41.46
947,1997,Peru,59.81,40.19
948,1998,Peru,61.1,38.9
949,1999,Peru,62.42,37.58
950,2000,Peru,63.78,36.22
951,2001,Peru,65.16,34.84
952,2002,Peru,66.57,33.43
953,2003,Peru,68.01,31.99
954,2004,Peru,69.48,30.52
955,2005,Peru,70.98,29.02
956,2006,Peru,72.52,27.48
957,2007,Peru,74.09,25.91
958,2008,Peru,75.62,24.38
959,2009,Peru,77.48,22.52
960,2010,Peru,79.31,20.69
961,2011,Peru,81.18,18.82
962,2012,Peru,82.0,18.0
963,2013,Peru,90.0,9.7
964,2014,Peru,91.9,8.1
965,2015,Peru,93.3,6.7
966,1970,Dominican Republic,53.01,46.99
967,1971,Dominican Republic,53.91,46.09
968,1972,Dominican Republic,54.81,45.19
969,1973,Dominican Republic,55.72,44.28
970,1974,Dominican Republic,56.54,43.46
971,1975,Dominican Republic,57.76,42.24
972,1976,Dominican Republic,58.5,41.5
973,1977,Dominican Republic,59.23,40.77
974,1978,Dominican Republic,59.97,40.03
975,1979,Dominican Republic,60.64,39.36
976,1980,Dominican Republic,61.5,38.5
977,1981,Dominican Republic,61.19,38.81
978,1982,Dominican Republic,62.3,37.7
979,1983,Dominican Republic,63.44,36.56
980,1984,Dominican Republic,64.6,35.4
981,1985,Dominican Republic,65.78,34.22
982,1986,Dominican Republic,66.98,33.02
983,1987,Dominican Republic,68.2,31.8
984,1988,Dominican Republic,69.44,30.56
985,1989,Dominican Republic,70.71,29.29
986,1990,Dominican Republic,72.0,28.0
987,1991,Dominican Republic,73.31,26.69
988,1992,Dominican Republic,74.65,25.35
989,1993,Dominican Republic,76.01,23.99
990,1994,Dominican Republic,77.74,22.26
991,1995,Dominican Republic,79.51,20.49
992,1996,Dominican Republic,81.32,18.68
993,1997,Dominican Republic,83.17,16.83
994,1998,Dominican Republic,85.06,14.94
995,1999,Dominican Republic,87.0,13.0
996,2000,Dominican Republic,88.98,11.02
997,2001,Dominican Republic,91.0,9.0
998,2002,Dominican Republic,93.08,6.92
999,2003,Dominican Republic,93.66,6.34
1000,2004,Dominican Republic,93.55,6.45
1001,2005,Dominican Republic,93.45,6.55
1002,2006,Dominican Republic,93.37,6.63
1003,2007,Dominican Republic,93.32,6.68
1004,2008,Dominican Republic,93.28,6.72
1005,2009,Dominican Republic,93.26,6.74
1006,2010,Dominican Republic,94.44,5.56
1007,2011,Dominican Republic,92.08,7.92
1008,2012,Dominican Republic,93.0,7.0
1009,2013,Dominican Republic,94.0,6.0
1010,2014,Dominican Republic,96.7,3.34
1011,2015,Dominican Republic,96.9,3.13
1012,1970,El Salvador,33.97,66.03
1013,1971,El Salvador,34.1,65.9
1014,1972,El Salvador,35.39,64.61
1015,1973,El Salvador,36.73,63.27
1016,1974,El Salvador,38.12,61.88
1017,1975,El Salvador,39.56,60.44
1018,1976,El Salvador,41.05,58.95
1019,1977,El Salvador,42.6,57.4
1020,1978,El Salvador,44.21,55.79
1021,1979,El Salvador,45.88,54.12
1022,1980,El Salvador,47.62,52.38
1023,1981,El Salvador,49.42,50.58
1024,1982,El Salvador,51.29,48.71
1025,1983,El Salvador,53.23,46.77
1026,1984,El Salvador,55.24,44.76
1027,1985,El Salvador,57.33,42.67
1028,1986,El Salvador,59.49,40.51
1029,1987,El Salvador,61.74,38.26
1030,1988,El Salvador,64.07,35.93
1031,1989,El Salvador,66.5,33.5
1032,1990,El Salvador,69.01,30.99
1033,1991,El Salvador,71.62,28.38
1034,1992,El Salvador,74.33,25.67
1035,1993,El Salvador,75.48,24.52
1036,1994,El Salvador,76.64,23.36
1037,1995,El Salvador,77.83,22.17
1038,1996,El Salvador,79.03,20.97
1039,1997,El Salvador,80.26,19.74
1040,1998,El Salvador,81.5,18.5
1041,1999,El Salvador,82.7,17.3
1042,2000,El Salvador,84.5,15.5
1043,2001,El Salvador,87.1,12.9
1044,2002,El Salvador,87.5,12.5
1045,2003,El Salvador,87.0,13.0
1046,2004,El Salvador,87.4,12.6
1047,2005,El Salvador,87.5,12.5
1048,2006,El Salvador,89.2,10.8
1049,2007,El Salvador,91.1,8.9
1050,2008,El Salvador,91.0,9.0
1051,2009,El Salvador,91.1,8.9
1052,2010,El Salvador,91.6,8.4
1053,2011,El Salvador,92.1,7.9
1054,2012,El Salvador,92.5,7.5
1055,2013,El Salvador,92.5,7.5
1056,2014,El Salvador,95.0,5.0
1057,2015,El Salvador,95.4,4.6
1058,1970,Suriname,67.14,32.86
1059,1971,Suriname,68.12,31.88
1060,1972,Suriname,69.08,30.92
1061,1973,Suriname,71.17,28.83
1062,1974,Suriname,73.28,26.72
1063,1975,Suriname,75.42,24.58
1064,1976,Suriname,77.58,22.42
1065,1977,Suriname,79.75,20.25
1066,1978,Suriname,81.94,18.06
1067,1979,Suriname,84.14,15.86
1068,1980,Suriname,86.76,13.24
1069,1981,Suriname,86.52,13.48
1070,1982,Suriname,86.28,13.72
1071,1983,Suriname,86.05,13.95
1072,1984,Suriname,85.81,14.18
1073,1985,Suriname,85.58,14.42
1074,1986,Suriname,85.35,14.65
1075,1987,Suriname,85.12,14.88
1076,1988,Suriname,84.88,15.12
1077,1989,Suriname,84.65,15.35
1078,1990,Suriname,84.42,15.58
1079,1991,Suriname,84.19,15.81
1080,1992,Suriname,83.96,16.04
1081,1993,Suriname,83.73,16.27
1082,1994,Suriname,83.51,16.49
1083,1995,Suriname,83.28,16.72
1084,1996,Suriname,83.05,16.95
1085,1997,Suriname,82.83,17.17
1086,1998,Suriname,82.6,17.4
1087,1999,Suriname,82.38,17.62
1088,2000,Suriname,82.15,17.85
1089,2001,Suriname,81.93,18.07
1090,2002,Suriname,81.71,18.29
1091,2003,Suriname,81.48,18.52
1092,2004,Suriname,81.26,18.74
1093,2005,Suriname,83.67,16.33
1094,2006,Suriname,85.11,14.89
1095,2007,Suriname,86.4,13.6
1096,2008,Suriname,87.5,12.5
1097,2009,Suriname,88.36,11.64
1098,2010,Suriname,88.97,11.03
1099,2011,Suriname,89.58,10.42
1100,2012,Suriname,90.34,9.66
1101,2013,Suriname,90.34,9.66
1102,2014,Suriname,90.34,9.66
1103,2015,Suriname,90.34,9.66
1104,1970,Trinidad and Tobago,82.04,17.96
1105,1971,Trinidad and Tobago,82.48,17.52
1106,1972,Trinidad and Tobago,82.87,17.13
1107,1973,Trinidad and Tobago,83.23,16.77
1108,1974,Trinidad and Tobago,83.53,16.47
1109,1975,Trinidad and Tobago,83.8,16.2
1110,1976,Trinidad and Tobago,84.02,15.98
1111,1977,Trinidad and Tobago,84.2,15.8
1112,1978,Trinidad and Tobago,84.33,15.67
1113,1979,Trinidad and Tobago,84.43,15.57
1114,1980,Trinidad and Tobago,84.47,15.53
1115,1981,Trinidad and Tobago,84.61,15.39
1116,1982,Trinidad and Tobago,84.71,15.29
1117,1983,Trinidad and Tobago,84.76,15.24
1118,1984,Trinidad and Tobago,85.03,14.97
1119,1985,Trinidad and Tobago,85.28,14.72
1120,1986,Trinidad and Tobago,85.51,14.49
1121,1987,Trinidad and Tobago,85.71,14.29
1122,1988,Trinidad and Tobago,85.88,14.12
1123,1989,Trinidad and Tobago,86.02,13.98
1124,1990,Trinidad and Tobago,87.78,12.22
1125,1991,Trinidad and Tobago,88.12,11.88
1126,1992,Trinidad and Tobago,88.47,11.53
1127,1993,Trinidad and Tobago,88.82,11.18
1128,1994,Trinidad and Tobago,89.17,10.83
1129,1995,Trinidad and Tobago,89.52,10.48
1130,1996,Trinidad and Tobago,89.87,10.13
1131,1997,Trinidad and Tobago,90.22,9.78
1132,1998,Trinidad and Tobago,90.58,9.42
1133,1999,Trinidad and Tobago,90.94,9.07
1134,2000,Trinidad and Tobago,91.29,8.71
1135,2001,Trinidad and Tobago,90.75,9.25
1136,2002,Trinidad and Tobago,91.82,8.18
1137,2003,Trinidad and Tobago,92.8,7.2
1138,2004,Trinidad and Tobago,93.68,6.32
1139,2005,Trinidad and Tobago,94.44,5.56
1140,2006,Trinidad and Tobago,95.08,4.92
1141,2007,Trinidad and Tobago,95.59,4.41
1142,2008,Trinidad and Tobago,95.96,4.04
1143,2009,Trinidad and Tobago,96.2,3.8
1144,2010,Trinidad and Tobago,96.29,3.71
1145,2011,Trinidad and Tobago,96.38,3.62
1146,2012,Trinidad and Tobago,96.56,3.44
1147,2013,Trinidad and Tobago,96.56,3.44
1148,2014,Trinidad and Tobago,98.0,2.0
1149,2015,Trinidad and Tobago,98.0,2.0
1150,1970,Uruguay,75.18,24.82
1151,1971,Uruguay,76.08,23.92
1152,1972,Uruguay,76.92,23.08
1153,1973,Uruguay,77.78,22.22
1154,1974,Uruguay,77.57,22.43
1155,1975,Uruguay,79.0,21.0
1156,1976,Uruguay,79.89,20.11
1157,1977,Uruguay,80.78,19.22
1158,1978,Uruguay,81.69,18.31
1159,1979,Uruguay,82.61,17.39
1160,1980,Uruguay,83.54,16.46
1161,1981,Uruguay,84.48,15.52
1162,1982,Uruguay,85.43,14.57
1163,1983,Uruguay,86.39,13.61
1164,1984,Uruguay,87.37,12.63
1165,1985,Uruguay,88.35,11.65
1166,1986,Uruguay,89.01,10.99
1167,1987,Uruguay,89.67,10.33
1168,1988,Uruguay,90.34,9.66
1169,1989,Uruguay,91.01,8.99
1170,1990,Uruguay,91.69,8.31
1171,1991,Uruguay,92.37,7.63
1172,1992,Uruguay,93.06,6.94
1173,1993,Uruguay,93.75,6.25
1174,1994,Uruguay,94.45,5.55
1175,1995,Uruguay,95.15,4.85
1176,1996,Uruguay,95.86,4.14
1177,1997,Uruguay,95.59,4.41
1178,1998,Uruguay,95.82,4.18
1179,1999,Uruguay,96.06,3.94
1180,2000,Uruguay,96.26,3.74
1181,2001,Uruguay,96.39,3.61
1182,2002,Uruguay,96.41,3.59
1183,2003,Uruguay,96.84,3.16
1184,2004,Uruguay,97.18,2.82
1185,2005,Uruguay,97.4,2.6
1186,2006,Uruguay,98.52,1.48
1187,2007,Uruguay,99.4,0.6
1188,2008,Uruguay,99.74,0.26
1189,2009,Uruguay,99.74,0.26
1190,2010,Uruguay,99.75,0.25
1191,2011,Uruguay,99.2,0.8
1192,2012,Uruguay,99.4,0.6
1193,2013,Uruguay,99.6,0.4
1194,2014,Uruguay,99.7,0.3
1195,2015,Uruguay,99.7,0.3
1196,1970,Venezuela,76.9,23.1
1197,1971,Venezuela,76.78,23.22
1198,1972,Venezuela,76.75,23.25
1199,1973,Venezuela,76.78,23.22
1200,1974,Venezuela,76.81,23.19
1201,1975,Venezuela,76.84,23.16
1202,1976,Venezuela,76.87,23.13
1203,1977,Venezuela,76.89,23.11
1204,1978,Venezuela,76.92,23.08
1205,1979,Venezuela,76.95,23.05
1206,1980,Venezuela,76.98,23.02
1207,1981,Venezuela,77.01,22.99
1208,1982,Venezuela,76.77,23.23
1209,1983,Venezuela,76.53,23.47
1210,1984,Venezuela,76.29,23.71
1211,1985,Venezuela,76.05,23.95
1212,1986,Venezuela,75.82,24.18
1213,1987,Venezuela,75.58,24.42
1214,1988,Venezuela,75.35,24.65
1215,1989,Venezuela,75.11,24.89
1216,1990,Venezuela,74.88,25.12
1217,1991,Venezuela,76.59,23.41
1218,1992,Venezuela,78.35,21.65
1219,1993,Venezuela,80.14,19.86
1220,1994,Venezuela,81.98,18.02
1221,1995,Venezuela,83.85,16.15
1222,1996,Venezuela,85.77,14.23
1223,1997,Venezuela,87.74,12.26
1224,1998,Venezuela,89.74,10.26
1225,1999,Venezuela,91.8,8.2
1226,2000,Venezuela,93.9,6.1
1227,2001,Venezuela,96.05,3.95
1228,2002,Venezuela,96.88,3.12
1229,2003,Venezuela,96.45,3.55
1230,2004,Venezuela,96.26,3.74
1231,2005,Venezuela,96.29,3.71
1232,2006,Venezuela,96.51,3.49
1233,2007,Venezuela,96.88,3.12
1234,2008,Venezuela,97.37,2.63
1235,2009,Venezuela,97.9,2.1
1236,2010,Venezuela,98.42,1.58
1237,2011,Venezuela,98.94,1.06
1238,2012,Venezuela,99.74,0.26
1239,2013,Venezuela,99.74,0.26
1240,2014,Venezuela,98.9,1.1
1241,2015,Venezuela,98.9,1.1
